Sembol,Şirket Adı,Kategori,Sektör,Fiyat (USD),52H Düşük,52H Yüksek,3A Perf%,6A Perf%,1Y Perf%,Tavsiye,Hedef Fiyat,Sentiment,P/E,Beta,Piyasa Değeri
HOOD,"Robinhood Markets, Inc.",Kripto/Fintech,Financial Services,90.75,39.21,153.86,-16.54,-30.96,127.73,Al,101.39625,POZİTİF,44.268295,2.464,$81.7B
TEM,"Tempus AI, Inc.",Kripto/Fintech,Healthcare,55.87,39.01,104.32,-20.56,-38.62,36.33,Al,72.4,NÖTR,,,$10.0B
COIN,"Coinbase Global, Inc.",Kripto/Fintech,Financial Services,206.33,139.36,444.65,-14.44,-37.52,17.9,Al,238.94034,POZİTİF,46.262333,3.606,$55.6B
RIOT,"Riot Platforms, Inc.",Kripto/Fintech,Financial Services,18.11,6.255,23.935,-5.87,-7.37,187.92,Güçlü Al,25.32778,POZİTİF,,3.571,$6.9B
HUT,Hut 8 Corp.,Kripto/Fintech,Financial Services,74.9,10.61,76.08,25.57,53.55,603.95,Güçlü Al,76.6875,POZİTİF,,5.712,$8.3B
CLSK,"CleanSpark, Inc.",Kripto/Fintech,Financial Services,11.97,7.44,23.61,-10.47,-40.12,60.24,Güçlü Al,19.375,POZİTİF,,3.539,$3.1B
MSTR,Strategy Inc,Kripto/Fintech,Technology,166.52,104.17,457.22,-4.14,-41.33,-47.6,Güçlü Al,371.07144,POZİTİF,,3.56,$57.7B
SQ,SQ,Kripto/Fintech,N/A,,,,,,,N/A,,NÖTR,,,N/A
PYPL,"PayPal Holdings, Inc.",Kripto/Fintech,Financial Services,50.81,38.46,79.5,-10.42,-22.66,-15.27,Tut,52.84515,NÖTR,9.391868,1.411,$46.8B
SOFI,"SoFi Technologies, Inc.",Kripto/Fintech,Financial Services,19.43,10.49,32.73,-25.64,-26.95,81.76,Tut,23.525,NÖTR,49.820515,2.251,$24.8B
AAPL,Apple Inc.,Büyük Teknoloji,Technology,270.23,189.81,288.62,5.85,9.41,40.51,Al,297.4555,POZİTİF,34.249683,1.109,$3971.8B
MSFT,Microsoft Corporation,Büyük Teknoloji,Technology,422.79,355.67,555.45,-7.85,-17.02,18.63,Güçlü Al,579.5731,POZİTİF,26.457449,1.107,$3142.3B
